Source,Address,Price,Area (m²),Date,price_per_sqm,log_price,District_encoded,Price_norm,Area (m²)_norm,price_per_sqm_norm,Price_std,Area (m²)_std,price_per_sqm_std,year,month,price_lag_1,price_roll_5
myrealty.am,Center,700000,135,2023-05-14,5185.1852,13.4588,4,0.681,0.7647,0.4225,3.35,1.35,2.04,2023,5,,700000.0
myrealty.am,Center,800000,135,2023-05-19,5925.9259,13.5924,4,0.791,0.7647,0.493,4.09,1.35,2.65,2023,5,700000.0,750000.0
myrealty.am,Center,210000,69,2023-07-06,3043.4783,12.2549,4,0.1419,0.2794,0.2185,-0.23,-0.73,0.29,2023,7,800000.0,570000.0
myrealty.am,Arabkir,400000,132,2023-07-24,3030.303,12.8992,2,0.3509,0.7426,0.2173,1.16,1.26,0.28,2023,7,210000.0,527500.0
myrealty.am,Center,279000,42,2023-07-27,6642.8571,12.539,4,0.2178,0.0809,0.5613,0.27,-1.59,3.24,2023,7,400000.0,477800.0
myrealty.am,Center,350000,98,2023-07-28,3571.4286,12.7657,4,0.2959,0.4926,0.2688,0.79,0.18,0.72,2023,7,279000.0,407800.0
myrealty.am,Center,280000,50,2023-08-17,5600.0,12.5425,4,0.2189,0.1397,0.462,0.28,-1.33,2.38,2023,8,350000.0,303800.0
myrealty.am,Center,260000,101,2023-09-08,2574.2574,12.4684,4,0.1969,0.5147,0.1739,0.13,0.28,-0.1,2023,9,280000.0,313800.0
myrealty.am,Arabkir,350000,158,2023-09-12,2215.1899,12.7657,2,0.2959,0.9338,0.1397,0.79,2.08,-0.39,2023,9,260000.0,303800.0
myrealty.am,Avan,650000,88,2023-10-03,7386.3636,13.3847,3,0.626,0.4191,0.6321,2.99,-0.13,3.84,2023,10,350000.0,378000.0
myrealty.am,Arabkir,290000,130,2023-10-30,2230.7692,12.5776,2,0.2299,0.7279,0.1411,0.35,1.19,-0.38,2023,10,650000.0,366000.0
myrealty.am,Center,99000,36,2023-11-06,2750.0,11.5029,4,0.0198,0.0368,0.1906,-1.05,-1.77,0.05,2023,11,290000.0,329800.0
myrealty.am,Arabkir,245000,80,2023-11-28,3062.5,12.409,2,0.1804,0.3603,0.2203,0.02,-0.39,0.3,2023,11,99000.0,326800.0
myrealty.am,Center,125000,52,2024-01-10,2403.8462,11.7361,4,0.0484,0.1544,0.1576,-0.86,-1.27,-0.24,2024,1,245000.0,281800.0
myrealty.am,Center,310000,59,2024-01-10,5254.2373,12.6443,4,0.2519,0.2059,0.4291,0.5,-1.05,2.1,2024,1,125000.0,213800.0
myrealty.am,Arabkir,220000,76,2024-01-13,2894.7368,12.3014,2,0.1529,0.3309,0.2044,-0.16,-0.51,0.17,2024,1,310000.0,199800.0
myrealty.am,Center,210000,62,2024-01-22,3387.0968,12.2549,4,0.1419,0.2279,0.2513,-0.23,-0.95,0.57,2024,1,220000.0,222000.0
myrealty.am,Arabkir,200000,61,2024-01-23,3278.6885,12.2061,2,0.1309,0.2206,0.2409,-0.31,-0.99,0.48,2024,1,210000.0,213000.0
myrealty.am,Arabkir,175000,78,2024-01-25,2243.5897,12.0725,2,0.1034,0.3456,0.1424,-0.49,-0.45,-0.37,2024,1,200000.0,223000.0
myrealty.am,Arabkir,160000,61,2024-01-26,2622.9508,11.9829,2,0.0869,0.2206,0.1785,-0.6,-0.99,-0.06,2024,1,175000.0,193000.0
myrealty.am,Center,125000,167,2024-02-02,748.503,11.7361,4,0.0484,1.0,0.0,-0.86,2.36,-1.59,2024,2,160000.0,174000.0
myrealty.am,Arabkir,180000,108,2024-02-19,1666.6667,12.1007,2,0.1089,0.5662,0.0874,-0.45,0.5,-0.84,2024,2,125000.0,168000.0
myrealty.am,Center,350000,125,2024-02-19,2800.0,12.7657,4,0.2959,0.6912,0.1954,0.79,1.04,0.09,2024,2,180000.0,198000.0
myrealty.am,Center,135000,94,2024-02-19,1436.1702,11.813,4,0.0594,0.4632,0.0655,-0.78,0.06,-1.03,2024,2,350000.0,190000.0
myrealty.am,Center,130000,94,2024-02-19,1382.9787,11.7753,4,0.0539,0.4632,0.0604,-0.82,0.06,-1.07,2024,2,135000.0,184000.0
myrealty.am,Kanaqer-Zeytun,140000,58,2024-02-24,2413.7931,11.8494,8,0.0649,0.1985,0.1586,-0.75,-1.08,-0.23,2024,2,130000.0,187000.0
myrealty.am,Kanaqer-Zeytun,345000,115,2024-02-27,3000.0,12.7513,8,0.2904,0.6176,0.2144,0.76,0.72,0.25,2024,2,140000.0,220000.0
myrealty.am,Center,210000,70,2024-02-29,3000.0,12.2549,4,0.1419,0.2868,0.2144,-0.23,-0.7,0.25,2024,2,345000.0,192000.0
myrealty.am,Arabkir,330000,90,2024-02-29,3666.6667,12.7068,2,0.2739,0.4338,0.2779,0.65,-0.07,0.8,2024,2,210000.0,231000.0
myrealty.am,Kanaqer-Zeytun,185000,58,2024-03-04,3189.6552,12.1281,8,0.1144,0.1985,0.2325,-0.42,-1.08,0.41,2024,3,330000.0,242000.0
myrealty.am,Nork-Marash,290000,116,2024-03-07,2500.0,12.5776,11,0.2299,0.625,0.1668,0.35,0.75,-0.16,2024,3,185000.0,272000.0
myrealty.am,Nork-Marash,225000,91,2024-03-22,2472.5275,12.3239,11,0.1584,0.4412,0.1642,-0.12,-0.04,-0.18,2024,3,290000.0,248000.0
myrealty.am,Erebuni,260000,167,2024-03-27,1556.8862,12.4684,6,0.1969,1.0,0.077,0.13,2.36,-0.93,2024,3,225000.0,258000.0
myrealty.am,Center,545000,88,2024-04-01,6193.1818,13.2085,4,0.5105,0.4191,0.5185,2.22,-0.13,2.87,2024,4,260000.0,301000.0
myrealty.am,Center,280000,74,2024-04-04,3783.7838,12.5425,4,0.2189,0.3162,0.289,0.28,-0.58,0.89,2024,4,545000.0,320000.0
myrealty.am,Davtashen,306000,91,2024-04-10,3362.6374,12.6313,5,0.2475,0.4412,0.2489,0.47,-0.04,0.55,2024,4,280000.0,323200.0
myrealty.am,Davtashen,306000,91,2024-04-10,3362.6374,12.6313,5,0.2475,0.4412,0.2489,0.47,-0.04,0.55,2024,4,306000.0,339400.0
myrealty.am,Davtashen,306000,91,2024-04-10,3362.6374,12.6313,5,0.2475,0.4412,0.2489,0.47,-0.04,0.55,2024,4,306000.0,348600.0
myrealty.am,Center,315000,82,2024-04-12,3841.4634,12.6603,4,0.2574,0.375,0.2945,0.54,-0.32,0.94,2024,4,306000.0,302600.0
