Source,Address,Price,Area (m²),Date
myrealty.am,"Tumanyan St, Center, Yerevan","235,000",40SQ. M.,20.11.2025
myrealty.am,"Tumanyan St, Center, Yerevan","235,000",40SQ. M.,20.11.2025
myrealty.am,"Tumanyan St, Center, Yerevan","235,000",40SQ. M.,20.11.2025
myrealty.am,"Silikyan district, Ajapnyak, Yerevan","155,000",156SQ. M.,15.09.2025
myrealty.am,"K. Ulnetsi St, Kanaqer-Zeytun, Yerevan","280,000",106SQ. M.,23.09.2025
myrealty.am,"Sasna Tsrer St, Davtashen, Yerevan","306,000",91SQ. M.,10.04.2024
myrealty.am,"Sasna Tsrer St, Davtashen, Yerevan","306,000",91SQ. M.,10.04.2024
myrealty.am,"Sasna Tsrer St, Davtashen, Yerevan","306,000",91SQ. M.,10.04.2024
myrealty.am,"Aram St, Center, Yerevan","1,500Per Month",74SQ. M.,12.11.2025
myrealty.am,"Aram St, Center, Yerevan","1,500Per Month",74SQ. M.,12.11.2025
myrealty.am,"Aram St, Center, Yerevan","1,500Per Month",74SQ. M.,12.11.2025
myrealty.am,"Leo St, Center, Yerevan","455,000",105SQ. M.,16.06.2025
myrealty.am,"Emineski St, Kanaqer-Zeytun, Yerevan","125,000",83SQ. M.,12.11.2025
myrealty.am,"Emineski St, Kanaqer-Zeytun, Yerevan","125,000",83SQ. M.,12.11.2025
myrealty.am,"Emineski St, Kanaqer-Zeytun, Yerevan","125,000",83SQ. M.,12.11.2025
myrealty.am,"Antarayin St, Center, Yerevan","3,500Per Month",280SQ. M.,22.05.2024
myrealty.am,"Armenak Armenakyan St, Nork-Marash, Yerevan","25,000Per Month",1200SQ. M.,25.07.2025
myrealty.am,"Vahakni District, Vahagni district, Yerevan","750,000",725SQ. M.,27.06.2025
myrealty.am,"Arabkir 39 St, Arabkir, Yerevan","200,000",61SQ. M.,23.01.2024
myrealty.am,"A. Avetisyan St, Arabkir, Yerevan","220,000",76SQ. M.,13.01.2024
myrealty.am,"Gogol St, Kanaqer-Zeytun, Yerevan","250,000",130SQ. M.,24.06.2024
myrealty.am,"K. Ulnetsi St, Kanaqer-Zeytun, Yerevan","185,000",58SQ. M.,04.03.2024
myrealty.am,"Lvovyan St, Nor-Nork, Yerevan","239,000",140SQ. M.,05.09.2025
myrealty.am,"Sasna Tsrer St, Davtashen, Yerevan","440,000",123SQ. M.,16.12.2024
myrealty.am,"Davtashen 1 district, Davtashen, Yerevan","290,000",104SQ. M.,25.07.2025
myrealty.am,"Heratsi St, Center, Yerevan","123,000",66SQ. M.,26.09.2024
myrealty.am,"Halabyan St, Ajapnyak, Yerevan","140,000",81SQ. M.,09.10.2025
myrealty.am,"Leningradyan st., Malatia-Sebastia, Yerevan","266,500",118SQ. M.,27.05.2025
myrealty.am,"Griboedov St, Arabkir, Yerevan","195,000",116SQ. M.,22.08.2025
myrealty.am,"Northern (Hyusisayin)  Ave, Center, Yerevan","1,150,000",169SQ. M.,07.02.2025
myrealty.am,"Tsitsernakaberd Highway, Center, Yerevan","345,000",117SQ. M.,30.10.2024
myrealty.am,"Mashtots Ave, Center, Yerevan","295,000",77SQ. M.,12.07.2025
myrealty.am,"Mikoyan St, Davtashen, Yerevan","180,000",73SQ. M.,13.01.2025
myrealty.am,"Lvovyan St, Nor-Nork, Yerevan","239,000",140SQ. M.,05.09.2025
myrealty.am,"Mikoyan St, Davtashen, Yerevan","180,000",73SQ. M.,13.01.2025
myrealty.am,"Duryan disrtict, Avan, Yerevan","1,050,000",2126SQ. M.,13.12.2024
myrealty.am,"Leningradyan st., Malatia-Sebastia, Yerevan","102,000",70SQ. M.,28.02.2025
myrealty.am,"Davit Anhaxt St, Kanaqer-Zeytun, Yerevan","285,000",104SQ. M.,28.02.2025
myrealty.am,"Davit Anhaxt St, Kanaqer-Zeytun, Yerevan","345,000",115SQ. M.,27.02.2024
myrealty.am,"Baghramyan av(Arabkir), Arabkir, Yerevan","450,000",99SQ. M.,06.10.2025
myrealty.am,"Mher Mkrtchyan, Avan, Yerevan","270,000",248SQ. M.,17.09.2025
myrealty.am,"Lvovyan St, Nor-Nork, Yerevan","239,000",140SQ. M.,05.09.2025
myrealty.am,"Norashen district, Ajapnyak, Yerevan","122,000",79SQ. M.,05.09.2025
myrealty.am,"Leningradyan St, Ajapnyak, Yerevan","127,000",72SQ. M.,05.09.2025
myrealty.am,"Sevak St, Kanaqer-Zeytun, Yerevan","135,000",89SQ. M.,05.09.2025
myrealty.am,"Paronyan St, Center, Yerevan","260,000",101SQ. M.,08.09.2023
myrealty.am,"Antarayin St, Center, Yerevan","370,000",111SQ. M.,04.03.2025
myrealty.am,"Baghramyan av(Arabkir), Arabkir, Yerevan","310,000",93SQ. M.,29.04.2025
myrealty.am,"G. Hovsepyan St, Nork-Marash, Yerevan","280,000",138SQ. M.,04.09.2025
myrealty.am,"Azatutyan Ave, Arabkir, Yerevan","310,000",96SQ. M.,21.06.2024
myrealty.am,"Hanrapetutyan St, Center, Yerevan","1,700,000",235SQ. M.,26.07.2023
myrealty.am,"M․ Melqonyan str, Center, Yerevan","230,000",89SQ. M.,05.11.2024
myrealty.am,"Leningradyan St, Ajapnyak, Yerevan","97,000",46SQ. M.,18.03.2025
myrealty.am,"Mashtots Ave, Center, Yerevan","2,000Per Month",95SQ. M.,14.08.2025
